source_name,author,title,description,url,published_at,content,cleaned_description,sentiment
Gizmodo.com,Lucas Ropek,Judge Throws the Book at Climate Activists Who Threw Soup on Van Gogh Painting,"Tossing a can of soup at a priceless work of art will get you time in the slammer, apparently.",https://gizmodo.com/judge-throws-the-book-at-climate-activists-who-threw-soup-on-van-gogh-painting-2000504504,2024-09-27T20:30:17Z,"The two environmental activists who threw a can of tomato soup on Vincent Van Gogh’s “Sunflowers” painting have been sentenced to two years in prison.
In October of 2022, Phoebe Plummer, then 21, an… [+2699 chars]","tossing a can of soup at a priceless work of art will get you time in the slammer, apparently.",Neutral
NPR,NPR,Climate Solutions Week: The future of food,"Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions, from how we farm to what we cook to reducing food waste.",https://www.npr.org/2024/09/06/g-s1-19303/food-climate-solutions,2024-09-06T16:48:31Z,"September 9-15, 2024
Climate experts say when it comes to global warming, pay attention to what we eat. Food and agriculture make up more than 25% of the pollution that heats our planet. What's driv… [+789 chars]","climate change is affecting our food, and our food is affecting the climate. npr is dedicating a week to stories and conversations about the search for solutions, from how we farm to what we cook to reducing food waste.",Neutral
Business Insider,Catherine Boudreau,Climate crisis is helping spread deadly mosquito viruses in the US,Mosquito-borne illnesses like triple E and West Nile are rising due to climate change and travel.,https://www.businessinsider.com/west-nile-triple-e-mosquito-virus-diseases-us-2024-9,2024-09-05T13:35:50Z,"Multiple mosquito-borne illnesses are on the rise in the US, including triple E and West Nile.Soumyabrata Roy/Getty Images.
<ul><li>Mosquito-borne illnesses are rising in the US, including triple E,… [+3158 chars]",mosquito-borne illnesses like triple e and west nile are rising due to climate change and travel.,Neutral
NPR,Brittney Melton,"Harris and Trump’s post-debate plans. And, why climate change puts chocolate at risk","Former President Donald Trump and Vice President Harris are campaigning in swing states heavily post their first presidential debate. And, why climate change could put chocolate in danger.",https://www.npr.org/2024/09/13/g-s1-22506/up-first-newsletter-harris-trump-campaign-swing-states-climate-change-chocolate,2024-09-13T12:05:15Z,"Good morning. You're reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day.
Today's top st… [+6113 chars]","former president donald trump and vice president harris are campaigning in swing states heavily post their first presidential debate. and, why climate change could put chocolate in danger.",Neutral
Harvard Business Review,"Solitaire Townsend, Kaya Axelsson","To Incentivize Companies to Address Climate Change, Measure Their Broader Impact","Current climate reporting focuses primarily on reducing carbon emissions within companies’ direct operations and value chains, often overlooking the broader impact businesses can have on society. This narrow approach fails to recognize or reward companies for…",https://hbr.org/2024/09/to-incentivize-companies-to-address-climate-change-measure-their-broader-impact,2024-09-06T14:00:00Z,"Current climate reporting focuses primarily on reducing carbon emissions within companies’ direct operations and value chains, often overlooking the broader impact businesses can have on society. Thi… [+654 chars]","current climate reporting focuses primarily on reducing carbon emissions within companies’ direct operations and value chains, often overlooking the broader impact businesses can have on society. this narrow approach fails to recognize or reward companies for…",Neutral
NPR,The NPR Network,How we grow food affects the climate. Here are solutions communities are taking to help,We've gathered examples from across the NPR Network of how we can change the food we grow to support climate goals.,https://www.npr.org/2024/09/14/g-s1-22158/climate-food-farming-solution,2024-09-14T18:00:00Z,"Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions.
As NPR's climate solutions reporter… [+4249 chars]",we've gathered examples from across the npr network of how we can change the food we grow to support climate goals.,Positive
NPR,Manola Secaira,California farmers turn to agave amid drought conditions and climate change,Farmers in California are trying to plant crops that don't require a lot of water. Some are turning to growing agave as a response to a warming state.,https://www.npr.org/2024/09/06/nx-s1-5002056/california-farmers-agave-drought-conditions-climate-change,2024-09-09T10:00:00Z,"Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions.
Most of the United States' fruits a… [+12610 chars]",farmers in california are trying to plant crops that don't require a lot of water. some are turning to growing agave as a response to a warming state.,Positive
NPR,Bill Chappell,"A landslide linked to climate change ‘rang’ the Earth for 9 days, researchers say","The scale of the geological event is like something from prehistoric times, with a tsunami 200 meters--656 feet--in height. But it happened last year. Researchers warn that similar events may reoccur.",https://www.npr.org/2024/09/13/g-s1-22858/a-landslide-linked-to-climate-change-rang-the-earth-for-9-days-researchers-say,2024-09-13T21:31:30Z,"The global seismic signal was extremely unusual, and it resonated for more than a week. So its no surprise that it grabbed the attention of researchers around the world. In the end, it took 68 expert… [+3233 chars]","the scale of the geological event is like something from prehistoric times, with a tsunami 200 meters--656 feet--in height. but it happened last year. researchers warn that similar events may reoccur.",Neutral
NPR,Anna Canny,Climate change makes farming easier in Alaska. Indigenous growers hope to lead the way,Climate change threatens many traditional foods in Alaska. But it’s also making farming more possible. A new training program aims to help Alaska Native communities grow more of their own food.,https://www.npr.org/2024/09/13/nx-s1-5002049/climate-change-farming-alaska-native,2024-09-13T16:01:47Z,"Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions.
Growing up in rural Alaska, Eva Daw… [+8821 chars]",climate change threatens many traditional foods in alaska. but it’s also making farming more possible. a new training program aims to help alaska native communities grow more of their own food.,Neutral
NPR,Alejandra Borunda,Europe's intense rainfall in September twice as likely thanks to climate change,Extensive early warnings and years of adaptation made the floods less deadly than they otherwise might have been.,https://www.npr.org/2024/09/25/nx-s1-5123674/europes-intense-rainfall-in-september-twice-as-likely-thanks-to-climate-change,2024-09-25T09:01:00Z,"Massive rainfall inundated parts of Central and Eastern Europe in mid-September, dumping as much as two-thirds of some cities annual rain in just a few days.
The rainfall from the weather system, ca… [+5353 chars]",extensive early warnings and years of adaptation made the floods less deadly than they otherwise might have been.,Negative
The Verge,Justine Calma,The UK helped usher in the coal era — now its closing its last remaining plant,The UK plans to close its last coal-fired power plant.,https://www.theverge.com/2024/9/23/24252195/last-coal-power-plant-close-climate-change-clean-energy,2024-09-23T18:05:30Z,"The UK helped usher in the coal era now its closing its last remaining plant
The UK helped usher in the coal era now its closing its last remaining plant
 / The clock is ticking for the UKs last wo… [+3022 chars]",the uk plans to close its last coal-fired power plant.,Neutral
NPR,Clare Marie Schneider,"State bans on commercial food waste have been largely ineffective, study finds","Much of the food supply in the U.S. goes uneaten, which contributes to climate change. Some states have tried to cut food waste in landfills, but their efforts have fallen short, researchers found.",https://www.npr.org/2024/09/14/nx-s1-5112435/food-waste-bans-climate-change-study,2024-09-15T10:00:00Z,"In the U.S., more than a third of the food supply goes uneaten. The waste happens at multiple levels in the production and supply chain and is a big contributor to climate change.
Food that ends up … [+3332 chars]","much of the food supply in the u.s. goes uneaten, which contributes to climate change. some states have tried to cut food waste in landfills, but their efforts have fallen short, researchers found.",Negative
Wired,"John Timmer, Ars Technica",The UK Has No Coal-Fired Power Plants for the First Time in 142 Years,"With Monday's closure of Ratcliffe-on-Soar, coal is no longer being used to provide electricity in the UK.",https://www.wired.com/story/uk-no-coal-fired-power-plants-first-time-in-142-years/,2024-10-01T19:52:53Z,"On Monday, the UK saw the closure of its last operational coal power plant, Ratcliffe-on-Soar, which has been operating since 1968. The closure of the plant, which had a capacity of 2,000 megawatts, … [+4069 chars]","with monday's closure of ratcliffe-on-soar, coal is no longer being used to provide electricity in the uk.",Negative
Time,Rebecca Schneid and Chantelle Lee,The Biggest Moments From the TIME100 Climate Leadership Forum,"TIME convened the first-ever TIME100 Climate Leadership Forum, featuring a series of conversations focused on driving real change toward a better, more sustainable world.",https://time.com/7022337/climate-leadership-forum-biggest-moments/,2024-09-24T03:55:00Z,"Climate leaders from various fields gathered for the inaugural TIME100 Climate Leadership Forum in New York City on Monday to discuss how icons, politicians, activists, policymakers, and business lea… [+5244 chars]","time convened the first-ever time100 climate leadership forum, featuring a series of conversations focused on driving real change toward a better, more sustainable world.",Positive
Yahoo Entertainment,NA,Asheville tragedy shows there are no climate change safe havens: experts,NA,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_de038120-78ce-426c-85f1-e29a874fa744,2024-10-01T00:35:00Z,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",NA,Neutral
Gizmodo.com,Adam Kovac,Chemists Finally Unravel the Mystery of Siberia’s Explosive Craters,"Underground methane blasts are behind Siberia’s puzzling exploding craters, according to new research.",https://gizmodo.com/geologists-finally-unravel-the-mystery-of-siberias-explosive-craters-2000504596,2024-09-29T14:00:11Z,"If you need one more reason to worry about warming global temperatures, you can add the ground spontaneously blowing up to the list.
In 2014, a bizarre crater was found in Siberias Yamal Peninsula. … [+3422 chars]","underground methane blasts are behind siberia’s puzzling exploding craters, according to new research.",Neutral
Wired,Julian Chokkattu,Google Is ‘Thinking Through’ How to Make the Pixel Watch Repairable,"The current version of Google's smartwatch isn't repairable, but for the first time, the company is figuring out how to fix that.",https://www.wired.com/story/google-is-thinking-through-the-pixel-watchs-design-to-be-repairable/,2024-09-24T21:56:08Z,"If you break the Google Pixel Watchwhether the first-generation smartwatch from 2022 or the latest model launched earlier this monththere is no way to repair it through official channels. Instead, if… [+3553 chars]","the current version of google's smartwatch isn't repairable, but for the first time, the company is figuring out how to fix that.",Neutral
Github.io,Christopher Krapu,Solving climate change by abusing thermodynamic scaling laws,A wintertime climate change solution,https://ckrapu.github.io/blog/2024/why-dont-we-just-freeze-the-carbon/,2024-09-29T06:17:54Z,"TL;DR: To stop climate change, just do this - raise crops for biomass (sequestering CO2) and freeze them in huge aboveground piles during winter by running pipes through the middle. With a little ins… [+18343 chars]",a wintertime climate change solution,Positive
Time,TIME PR,TIME Convenes Leaders Taking Action Toward A More Sustainable World at the Inaugural TIME100 Climate Leadership Forum,"The TIME100 Climate Leadership Forum Features Conversations with Jane Goodall, Jacinda Ardern, Michael S. Regan, Jennifer M. Granholm and More in New York City (New York, NY—September 23, 2024) Today, TIME convenes the first-ever TIME100 Climate Leadership Fo…",https://time.com/7022739/time-convenes-inaugural-time100-climate-leadership-forum/,2024-09-23T13:10:00Z,"The TIME100 Climate Leadership Forum Features Conversations with Jane Goodall, Jacinda Ardern, Michael S. Regan, Jennifer M. Granholmand More in New York City
(New York, NYSeptember 23, 2024) Today,… [+4098 chars]","the time100 climate leadership forum features conversations with jane goodall, jacinda ardern, michael s. regan, jennifer m. granholm and more in new york city (new york, ny—september 23, 2024) today, time convenes the first-ever time100 climate leadership fo…",Neutral
Gizmodo.com,Matt Novak,Belief That EVs Are Better for the Environment Drops,"Back in 2022, 63% of Americans believed EVs were greener. Now it's 58%.",https://gizmodo.com/belief-that-evs-are-better-for-the-environment-drops-2000502376,2024-09-24T15:30:59Z,"The number of Americans who believe electric vehicles are better for the environment than cars that run on fossil fuels has dipped 5% in the past two years, according to a new poll conducted by Ipsos… [+3561 chars]","back in 2022, 63% of americans believed evs were greener. now it's 58%.",Neutral
InsideClimate News,Inside Climate News,Americans misunderstand their contribution to deteriorating environment,A global survey suggests 88 percent of people are worried about the state of nature.,https://insideclimatenews.org/news/05092024/global-climate-concerns-survey/,2024-09-07T11:16:56Z,"Enlarge/ Power lines are cast in silhouette as the Creek Fire creeps up on on the Shaver Springs community off of Tollhouse Road on Tuesday, Sept. 8, 2020, in Auberry, California.
14
This article o… [+4947 chars]",a global survey suggests 88 percent of people are worried about the state of nature.,Negative
RNZ,Eloise Gibson,Great Barrier Reef already been dealt its death blow,A leading climate scientists says it's just not possible for some ecosystems to adapt to climate change.,https://www.rnz.co.nz/news/national/527469/great-barrier-reef-already-been-dealt-its-death-blow-scientist,2024-09-09T15:29:23Z,"The extensive bleaching of the Great Barrier Reef (pictured in April) was a ""death blow"" according to Dr Joëlle Gergis. Photo: DAVID GRAY / AFP
An Australian climate scientist has told a conference … [+2559 chars]",a leading climate scientists says it's just not possible for some ecosystems to adapt to climate change.,Neutral
The Verge,Justine Calma,"ExxonMobil deceived the public with plastic recycling, lawsuit claims",California filed suit against ExxonMobil after decades of promoting plastic recycling.,https://www.theverge.com/2024/9/23/24252433/exxonmobil-knew-plastic-recycling-lawsuit-california,2024-09-23T21:30:56Z,"Seal Beach, CA - December 13: Plastic bottles and other trash are piled up along the bank of the San Gabriel River just a few hundred yards from the Pacific Ocean. | Photo: Getty Images

 

 ExxonMo… [+4699 chars]",california filed suit against exxonmobil after decades of promoting plastic recycling.,Positive
BBC News,NA,Climate change leaves future of Pacific Islands tourism 'highly uncertain',Tourist sector bosses in the region are increasingly concerned about the impact of climate change.,https://www.bbc.com/news/articles/cp81l4gynljo,2024-09-08T23:33:29Z,"Tourism boss Christopher Cocker says the impact of a climate change is the ""foremost threat""
The Pacific Islands are scattered across a vast area of ocean, with some of the clearest waters in the wo… [+6484 chars]",tourist sector bosses in the region are increasingly concerned about the impact of climate change.,Neutral
BBC News,NA,Rivals try to woo the Pacific as climate change bites,"As the US, China and UK try to woo Pacific Islands for geopolitical reasons, nations are more concerned about climate.",https://www.bbc.com/news/articles/cvg5m13v9r2o,2024-09-04T21:59:40Z,"The Tongan capital Nukualofa was buzzing during the Pacific Islands Forum
Tongas sleepy capital Nukualofa was buzzing last week as leaders from across the Pacific region descended upon it for the an… [+6263 chars]","as the us, china and uk try to woo pacific islands for geopolitical reasons, nations are more concerned about climate.",Positive
NPR,Danny McArthur,These small Black-owned farms are growing crops with the climate in mind,"Across the Gulf South, small Black-owned farms are finding ways to use climate-friendly practices to grow crops while also addressing long-standing injustices.",https://www.npr.org/2024/09/12/nx-s1-5002077/small-black-owned-farms-climate-change-smart-agriculture,2024-09-12T10:00:00Z,"Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions.
A number of small Black-owned farms… [+6629 chars]","across the gulf south, small black-owned farms are finding ways to use climate-friendly practices to grow crops while also addressing long-standing injustices.",Neutral
ABC News,Julia Jacobo,The debate proved that climate change is not at center of 2024 election: Experts,Climate change continues to remain on the backburner of the 2024 election following little mention of environmental policy during the first.,https://abcnews.go.com/US/presidential-debate-proved-climate-change-center-2024-election/story?id=113585193,2024-09-11T22:15:24Z,Climate change remains on the backburner of the 2024 election following little mention of environmental policy during the first -- and possibly only -- debate between the two presidential candidates.… [+5660 chars],climate change continues to remain on the backburner of the 2024 election following little mention of environmental policy during the first.,Neutral
Yahoo Entertainment,Reuters Videos,Belgian climate scientists grow the pears of the future,"STORY: A group of climate scientists in Belgium are currently exploring what the pears of the future might be like.""...the pears tend to be less firm and...",https://www.yahoo.com/news/belgian-climate-scientists-grow-pears-095044724.html,2024-09-25T09:50:44Z,"STORY: A group of climate scientists in Belgium are currently exploring what the pears of the future might be like.
""...the pears tend to be less firm and have more sugar.""
:: THIS EARTH
:: Maasme… [+2133 chars]","story: a group of climate scientists in belgium are currently exploring what the pears of the future might be like.""...the pears tend to be less firm and...",Neutral
ABC News,Julia Jacobo,How climate change is making Florida's Big Bend more vulnerable to tropical threats,Hurricane Helene is heading straight for one of the regions most vulnerable to the impact of hurricanes: Florida's Big Bend.,https://abcnews.go.com/US/hurricane-helene-climate-change-making-floridas-big-bend/story?id=114183293,2024-09-26T23:40:59Z,"Hurricane Helene is heading straight for one of the regions most vulnerable to hurricanes: Florida's Big Bend.
Helene is expected to make landfall as a dangerous major hurricane Thursday night near … [+5753 chars]",hurricane helene is heading straight for one of the regions most vulnerable to the impact of hurricanes: florida's big bend.,Neutral
Time,Rebecca Schneid,How the Climate Museum Hopes Art Will Spur Action,A day at the Climate Museum during New York City's Climate Week reveals how the exhibits  imbue viewers with agency to interact with art.,https://time.com/7024811/climate-museum-new-york-art-change/,2024-09-26T17:45:14Z,"The first piece of art attendees will see as they head to the Climate Museums latest exhibit is a map of the world in black, white, and gray.
At first glance, the map presents which countries are pr… [+5373 chars]",a day at the climate museum during new york city's climate week reveals how the exhibits  imbue viewers with agency to interact with art.,Neutral
Politicopro.com,"Scott Waldman, E&E News",Presidential Debate Features Fracking while Climate Change Is Mostly Ignored,Donald Trump all but ignored climate change at Tuesday’s presidential debate while Kamala Harris voiced support of both fossil fuels and increased clean energy spending,https://subscriber.politicopro.com/article/eenews/2024/09/11/harris-touts-climate-law-to-highlight-fracking-00178550,2024-09-11T16:15:00Z,"CLIMATEWIRE | Vice President Kamala Harris finally mentioned the climate law she has pointedly avoided on the campaign trail — to prove she won't ban fracking.
“I have not banned fracking as vice pr… [+4807 chars]",donald trump all but ignored climate change at tuesday’s presidential debate while kamala harris voiced support of both fossil fuels and increased clean energy spending,Positive
NPR,Kimberly Winston,A new kind of chaplain is helping people deal with 'climate grief',A new kind of spiritual advisor is rising among clergy trained in handling grief and other difficult emotions.,https://www.npr.org/2024/09/06/nx-s1-5092402/eco-chaplains-helping-people-deal-with-climate-grief,2024-09-06T09:51:00Z,"TALENT, Ore. When Diane Wares home state of Oregon proposed a natural gas pipeline that threatened local waterways, she sprang into action leading workshops on lobbying state lawmakers, mentoring stu… [+11722 chars]",a new kind of spiritual advisor is rising among clergy trained in handling grief and other difficult emotions.,Negative
NPR,Alejandra Borunda,These bakers want to make your bread tastier — with climate-resilient wheat,A team of scientists and bakers in the Pacific Northwest is searching for ways to make whole wheat bread resilient to a warming world — and more delicious.,https://www.npr.org/2024/09/09/nx-s1-5002074/bread-flour-climate-change,2024-09-10T10:00:00Z,"Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions.
Its a drizzly, cold spring day outs… [+11702 chars]",a team of scientists and bakers in the pacific northwest is searching for ways to make whole wheat bread resilient to a warming world — and more delicious.,Neutral
Scientific American,Sherri Goodman,"We Must Secure Our Future in a Hotter, More Dangerous World",Defending the U.S. is much more complicated in an era of climate change,https://www.scientificamerican.com/article/we-must-secure-our-future-in-a-hotter-more-dangerous-world/,2024-09-09T11:00:00Z,"Flying by helicopter over the Greenland ice sheet, I am struck by its vast expanse of whiteness. But as I look closer I see that much of the ice is dotted with bright blue pools. These pools reflect … [+6016 chars]",defending the u.s. is much more complicated in an era of climate change,Neutral
NPR,Scott Neuman,Is getting food delivered worse for the climate? Sometimes it’s better,"From meal kits to grocery service to restaurant delivery, we look at the carbon footprint of convenient food and the choices people can make to try to reduce it. Sometimes there are trade-offs.",https://www.npr.org/2024/09/10/nx-s1-5020321/food-delivery-meal-kits-carbon-footprint,2024-09-11T10:00:00Z,"Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions.
Theres a whiteboard on the refriger… [+9038 chars]","from meal kits to grocery service to restaurant delivery, we look at the carbon footprint of convenient food and the choices people can make to try to reduce it. sometimes there are trade-offs.",Neutral
Time,Rebecca Schneid,How Jacinda Ardern Sees Everyone as a Player in the Climate Fight,The former Prime Minister of New Zealand spoke about her “expectation bias” at the inaugural TIME100 Climate Leadership Forum.,https://time.com/7022329/climate-leadership-forum-jacinda-ardern-new-zealand-expectation-bias/,2024-09-24T03:00:00Z,"Jacinda Ardern, former Prime Minister of New Zealand, is prioritizing optimism in the movement to combat the climate crisisas well as expectation for leaders to do their jobs. If we resign ourselves … [+3863 chars]",the former prime minister of new zealand spoke about her “expectation bias” at the inaugural time100 climate leadership forum.,Neutral
Time,Harry Booth,Sasha Luccioni,"About 5 years ago, Sasha Luccioni was researching ways AI could help tackle climate change when a single question prompted her to rethink: What if AI was part of the problem? “Every time you do a Google search, you don’t know how much energy that’s using. Eve…",https://time.com/7012753/sasha-luccioni/,2024-09-05T11:24:03Z,"About 5 years ago, Sasha Luccioni was researching ways AI could help tackle climate change when a single question prompted her to rethink: What if AI was part of the problem? 
Every time you do a Go… [+1530 chars]","about 5 years ago, sasha luccioni was researching ways ai could help tackle climate change when a single question prompted her to rethink: what if ai was part of the problem? “every time you do a google search, you don’t know how much energy that’s using. eve…",Positive
The Atlantic,Karen Hao,Microsoft’s Hypocrisy on AI,Can artificial intelligence really enrich fossil-fuel companies and fight climate change at the same time? The tech giant says yes.,https://www.theatlantic.com/technology/archive/2024/09/microsoft-ai-oil-contracts/679804/,2024-09-13T10:00:00Z,"Microsoft executives have been thinking lately about the end of the world. In a white paper published late last year, Brad Smith, the company’s vice chair and president, and Melanie Nakagawa, its chi… [+16127 chars]",can artificial intelligence really enrich fossil-fuel companies and fight climate change at the same time? the tech giant says yes.,Negative
BBC News,NA,How the world’s smelliest fruit is making coffee more expensive,"A ""perfect storm"" of economic and environmental factors in coffee-producing regions is pushing up prices.",https://www.bbc.com/news/articles/c5y37dvlr70o,2024-09-15T02:33:23Z,"How much is too much for a caffeine fix?
Prices like £5 in London or $7 in New York for a cup of coffee may be unthinkable for some - but could soon be a reality thanks to a ""perfect storm"" of econo… [+5416 chars]","a ""perfect storm"" of economic and environmental factors in coffee-producing regions is pushing up prices.",Neutral
The New Yorker,Rebecca Mead,Can Your Stomach Handle a Meal at Alchemist?,"At the Copenhagen restaurant, diners are served raw jellyfish—and freeze-dried lamb brain served in a fake cranium—while videos about climate change swirl on the ceiling. Is it “gastronomic opera,” or sensory overload?",https://www.newyorker.com/magazine/2024/09/30/can-your-stomach-handle-a-meal-at-alchemist,2024-09-23T10:00:00Z,"Rasmus Munk, the celebrated Danish chef, has such memorable eyesthey are a piercing blue, and often bloodshotthat when a waiter at Alchemist, his restaurant in Copenhagen, served me an eyeball, I rec… [+17238 chars]","at the copenhagen restaurant, diners are served raw jellyfish—and freeze-dried lamb brain served in a fake cranium—while videos about climate change swirl on the ceiling. is it “gastronomic opera,” or sensory overload?",Negative
NPR,Rebecca Hersher,Abnormally warm water helped Helene rapidly intensify and suck up moisture,"Helene is dumping rain across the Southeast, after coming ashore as a powerful Category 4 storm. Abnormally warm water in the Gulf of Mexico helped it rapidly intensify and suck up moisture.",https://www.npr.org/2024/09/27/nx-s1-5130849/helene-category-4-fast-warm-water-climate-change,2024-09-27T16:01:46Z,"Follow NPR's live updates for the latest on the impact of Helene.
In the two days before it hit Florida, Hurricane Helene grew from a relatively weak tropical storm into a major Category 4 hurricane… [+1841 chars]","helene is dumping rain across the southeast, after coming ashore as a powerful category 4 storm. abnormally warm water in the gulf of mexico helped it rapidly intensify and suck up moisture.",Neutral
